,index,occgrpnm2,%,year,candidate
0,Personal care and service,82,0.48520710059171596,92,bush
1,Legal,41,0.24260355029585798,92,bush
2,Healthcare practitioners,23,0.13609467455621302,92,bush
3,Business and financial,13,0.07692307692307693,92,bush
4,Sales and related,5,0.029585798816568046,92,bush
5,"Life, physical, social science",2,0.011834319526627219,92,bush
6,Arts and entertainment,1,0.005917159763313609,92,bush
7,Architecture and engineering,1,0.005917159763313609,92,bush
8,Construction and extraction,1,0.005917159763313609,92,bush
