,Unnamed: 0,index,occgrpnm2,%,year,candidate
111,1,Personal care and service,21,0.23863636363636365,96,dole
112,2,Legal,19,0.2159090909090909,96,dole
113,3,Business and financial,6,0.06818181818181818,96,dole
114,4,Arts and entertainment,4,0.045454545454545456,96,dole
115,5,Sales and related,3,0.03409090909090909,96,dole
116,6,"Education, training, library",2,0.022727272727272728,96,dole
117,7,"Life, physical, social science",2,0.022727272727272728,96,dole
118,0,Personal care and service,82,0.485207100591716,92,bush
119,1,Legal,41,0.242603550295858,92,bush
120,2,Healthcare practitioners,23,0.13609467455621302,92,bush
121,3,Business and financial,13,0.07692307692307693,92,bush
122,4,Sales and related,5,0.02958579881656805,92,bush
123,5,"Life, physical, social science",2,0.01183431952662722,92,bush
124,6,Architecture and engineering,1,0.005917159763313609,92,bush
125,7,Construction and extraction,1,0.005917159763313609,92,bush
126,8,Arts and entertainment,1,0.005917159763313609,92,bush
