,index,occgrpnm2,%,year,candidate
0,Legal,23645,0.15839468378003604,08,obama
1,"Education, training, library",23492,0.1573697573000891,08,obama
2,Healthcare practitioners,17281,0.11576310130694874,08,obama
3,Arts and entertainment,15771,0.10564781382511941,08,obama
4,Management,9704,0.06500579451898794,08,obama
5,Business and financial,9016,0.060396974792167685,08,obama
6,Computer and mathematical,8911,0.059693593874557034,08,obama
7,"Life, physical, social science",8024,0.05375169983721756,08,obama
8,Sales and related,6650,0.044547458115341075,08,obama
9,Architecture and engineering,6463,0.04329477019540592,08,obama
10,Personal care and service,5844,0.039148172214444096,08,obama
11,Administrative support,5141,0.03443886949939375,08,obama
12,Community and social service,4234,0.02836299814441415,08,obama
13,Transportation and material moving,1209,0.008098928851345466,08,obama
14,Construction and extraction,799,0.005352393839722935,08,obama
15,Production,734,0.0049169675573925336,08,obama
16,Protective service,625,0.00418679117625386,08,obama
17,Healthcare support,579,0.003878643345681576,08,obama
18,Food preparation and serving,533,0.003570495515109292,08,obama
19,"Installation, maintenance, repair",346,0.002317807595174137,08,obama
20,Building and grounds maintenance,198,0.001326375444637223,08,obama
21,"Farming, fishing, forestry",80,0.0005359092705604941,08,obama
